restaurant_id,restaurant_name,description,location,cuisine_type,rating
1,すしざんまい,美味しい寿司と新鮮な海鮮を提供する人気の寿司店,"35.6762,139.6503",Sushi,4.8
2,東京ラーメン,濃厚な豚骨スープのラーメン専門店,"35.6895,139.6917",Ramen,4.5
3,カレーハウス,スパイシーなカレーライスとナン,"35.6581,139.6975",Curry,4.2
4,Teppanyaki Yamato,鉄板焼きでステーキとシーフードを楽しめる,"34.6937,135.5022",Teppanyaki,4.7
5,うどん屋さん,手打ちうどんと天ぷらの専門店,"34.9858,135.7588",Udon,4.3
6,Shabu Shabu Ono,しゃぶしゃぶとすき焼きの高級店,"35.6812,139.7671",Shabu Shabu,4.9
7,Okonomiyaki Kiji,お好み焼きと焼きそばの大阪風レストラン,"34.6687,135.5013",Okonomiyaki,4.4
8,Tempura Tsunahachi,天ぷら専門店。新鮮な海鮮と野菜を使用,"35.6711,139.7045",Tempura,4.6
9,Tonkatsu Maisen,とんかつとカツカレーの有名店,"35.6694,139.7063",Tonkatsu,4.5
10,Izakaya Hanako,居酒屋で焼き鳥と日本酒を楽しめる,"35.6605,139.7292",Izakaya,4.3
11,鮨さいとう,職人技が光る高級寿司店,"35.6732,139.7601",Sushi,4.9
12,京都うどん,コシのある京都風うどんを提供,"34.9876,135.7590",Udon,4.4
13,Ramen Ichiraku,魚介系スープのラーメン店,"35.7001,139.7754",Ramen,4.6
14,カツオのたたき亭,土佐名物のカツオのたたき専門店,"33.5597,133.5311",Japanese,4.5
15,Yakiniku King,焼き肉食べ放題の人気店,"35.6654,139.7312",Yakiniku,4.3
16,天ぷら山本,新鮮な天ぷらと季節の食材,"34.6723,135.5034",Tempura,4.7
17,Soba House,手打ちそばと和風出汁,"35.7123,139.7987",Soba,4.4
18,しゃぶしゃぶ温野菜,野菜たっぷりのしゃぶしゃぶチェーン,"35.6819,139.7698",Shabu Shabu,4.2
19,Osaka Curry,スパイシーな大阪風カレー,"34.6698,135.4978",Curry,4.3
20,居酒屋太郎,地元で人気の居酒屋。焼き鳥が自慢,"35.6543,139.7021",Izakaya,4.1
21,Sushi Dai,新鮮な寿司を朝から楽しめる,"35.6651,139.7723",Sushi,4.8
22,ラーメン二郎,ガッツリ系のラーメンで有名,"35.6902,139.6990",Ramen,4.5
23,天丼てんや,手頃な価格で天丼を提供,"35.6789,139.7456",Tempura,4.2
24,Tonkatsu Wako,サクサクのとんかつ専門店,"34.6945,135.5067",Tonkatsu,4.4
25,うなぎ川,伝統的なうな重を提供,"34.9850,135.7602",Unagi,4.7
26,Yakitori Toritama,焼き鳥と日本酒の専門店,"35.6708,139.7109",Izakaya,4.3
27,カレーショップCoco,日本のカレーライスチェーン,"35.6824,139.7654",Curry,4.1
28,Okonomiyaki Chibo,広島風お好み焼きを楽しめる,"34.6701,135.5009",Okonomiyaki,4.6
29,Tempura Kondo,高級天ぷらで有名な老舗,"35.6725,139.7556",Tempura,4.9
30,しゃぶしゃぶ忍,落ち着いた雰囲気のしゃぶしゃぶ店,"35.6876,139.7732",Shabu Shabu,4.5
31,Sushi Zanmai Shibuya,渋谷で人気の寿司チェーン,"35.6597,139.6987",Sushi,4.4
32,京都ラーメン,鶏ガラスープの京都風ラーメン,"34.9881,135.7576",Ramen,4.3
33,Teppanyaki Misono,神戸牛を使った鉄板焼き,"34.6923,135.5045",Teppanyaki,4.8
34,うどん花まる,讃岐うどんの有名店,"34.6654,135.4987",Udon,4.5
35,Yakiniku Rikyu,厳選和牛の焼き肉店,"35.6756,139.7634",Yakiniku,4.7
36,そば処山田,老舗のそば屋。出汁が自慢,"35.6998,139.7801",Soba,4.4
37,カツカレー専門店,カツカレーとサラダのセット,"35.6643,139.7276",Curry,4.2
38,Izakaya Kura,地酒と串焼きが楽しめる居酒屋,"34.6712,135.5027",Izakaya,4.3
39,天ぷら松,季節の天ぷらコースを提供,"35.6702,139.7054",Tempura,4.6
40,Sushi Saito Kyoto,京都の高級寿司店,"34.9865,135.7613",Sushi,4.9
41,Ramen Kagetsu,味噌ラーメンが人気の店,"43.0686,141.3508",Ramen,4.5
42,うなぎ浜松,浜松名物のうなぎ料理,"34.7109,137.7261",Unagi,4.7
43,Yakitori Hachibei,焼き鳥と地酒の老舗,"35.6734,139.7589",Izakaya,4.4
44,カレーうどん屋,カレーうどんと天ぷらのセット,"34.9872,135.7598",Udon,4.3
45,Tonkatsu Ginza,銀座で人気のとんかつ店,"35.6721,139.7645",Tonkatsu,4.6
46,Okonomiyaki Sometaro,東京のお好み焼き老舗,"35.6965,139.7765",Okonomiyaki,4.4
47,Tempura Uoshin,新鮮な海鮮の天ぷら,"35.6687,139.7321",Tempura,4.5
48,しゃぶしゃぶ牛太,牛肉しゃぶしゃぶの専門店,"34.6931,135.5056",Shabu Shabu,4.7
49,Sushi Bar Yasuda,寿司職人の技が光る店,"35.6784,139.7412",Sushi,4.8
50,ラーメン山岡家,24時間営業のラーメンチェーン,"35.6907,139.6943",Ramen,4.3
51,天丼金子,豪華な海鮮天丼を提供,"34.6693,135.4998",Tempura,4.4
52,Yakiniku Jumbo,家族向けの焼き肉店,"35.6665,139.7298",Yakiniku,4.2
53,うどん四国,四国風うどんと出汁,"34.6647,135.4976",Udon,4.3
54,Soba Yume,手打ちそばと季節の天ぷら,"35.7127,139.7992",Soba,4.5
55,カレーキッチン,欧風カレーの専門店,"35.6817,139.7683",Curry,4.1
56,Izakaya Taro,焼き鳥とビールの居酒屋,"34.6728,135.5039",Izakaya,4.3
57,天ぷら新宿,新宿で人気の天ぷら店,"35.6891,139.7004",Tempura,4.6
58,Sushi Kappo,寿司と和食の融合,"34.9869,135.7621",Sushi,4.7
59,Ramen Hakata,博多風豚骨ラーメン,"33.5891,130.4203",Ramen,4.5
60,Tonkatsu Katsuya,手頃なとんかつチェーン,"35.6709,139.7076",Tonkatsu,4.2
61,Okonomiyaki Dohtonbori,道頓堀のお好み焼き店,"34.6689,135.5017",Okonomiyaki,4.4
62,しゃぶしゃぶ松五郎,A5ランク和牛のしゃぶしゃぶ,"35.6829,139.7667",Shabu Shabu,4.8
63,うなぎ中村,伝統的なうなぎ料理,"34.7105,137.7258",Unagi,4.6
64,Yakitori Kushi,串焼きと地酒の居酒屋,"35.6741,139.7598",Izakaya,4.3
